Dates,H0A0_Index
2000/1/4,363.043
2000/1/5,362.306
2000/1/6,362.421
2000/1/7,362.458
2000/1/10,362.725
2000/1/11,362.404
2000/1/12,362.292
2000/1/13,362.354
2000/1/14,362.33
2000/1/17,362.593
2000/1/18,362.159
2000/1/19,362.242
2000/1/20,362.069
2000/1/21,362.588
2000/1/24,362.939
2000/1/25,363.146
2000/1/26,362.963
2000/1/27,363.041
2000/1/28,363.066
2000/1/31,362.963
2000/2/1,363.002
2000/2/2,363
2000/2/3,363.283
2000/2/4,363.449
2000/2/7,363.252
2000/2/8,363.762
2000/2/9,363.864
2000/2/10,363.685
2000/2/11,363.728
2000/2/14,364.101
2000/2/15,364.198
2000/2/16,364.108
2000/2/17,364.008
2000/2/18,364.168
2000/2/21,364.431
2000/2/22,364.765
2000/2/23,364.628
2000/2/24,364.697
2000/2/25,364.525
2000/2/28,364.362
2000/2/29,363.739
2000/3/1,363.719
2000/3/2,363.559
2000/3/3,363.763
2000/3/6,364.047
2000/3/7,364.421
2000/3/8,363.998
2000/3/9,364.093
2000/3/10,363.726
2000/3/13,363.785
2000/3/14,363.49
2000/3/15,362.623
2000/3/16,362.426
2000/3/17,362.759
2000/3/20,363.061
2000/3/21,362.893
2000/3/22,362.421
2000/3/23,362.315
2000/3/24,361.788
2000/3/27,361.857
2000/3/28,360.996
2000/3/29,359.696
2000/3/30,358.654
2000/3/31,358.4
2000/4/3,358.543
2000/4/4,358.297
2000/4/5,357.876
2000/4/6,358.325
2000/4/7,358.961
2000/4/10,359.657
2000/4/11,359.338
2000/4/12,359.023
2000/4/13,358.915
2000/4/14,358.99
2000/4/17,358.717
2000/4/18,358.427
2000/4/19,359.006
2000/4/20,359.241
2000/4/24,359.24
2000/4/25,359.016
2000/4/26,359.136
2000/4/27,358.538
2000/4/28,358.226
2000/4/30,358.405
2000/5/1,358.255
2000/5/2,358.409
2000/5/3,357.918
2000/5/4,357.788
2000/5/5,357.116
2000/5/8,356.892
2000/5/9,356.951
2000/5/10,356.864
2000/5/11,356.872
2000/5/12,356.425
2000/5/15,356.811
2000/5/16,356.78
2000/5/17,356.077
2000/5/18,355.406
2000/5/19,354.782
2000/5/22,355.167
2000/5/23,354.297
2000/5/24,353.813
2000/5/25,353.092
2000/5/26,353.233
2000/5/29,353.503
2000/5/30,353.527
2000/5/31,353.901
2000/6/1,354.18
2000/6/2,355.331
2000/6/5,355.839
2000/6/6,356.045
2000/6/7,356.69
2000/6/8,356.912
2000/6/9,357.811
2000/6/12,358.341
2000/6/13,358.355
2000/6/14,358.671
2000/6/15,358.908
2000/6/16,359.084
2000/6/19,359.289
2000/6/20,359.536
2000/6/21,359.453
2000/6/22,359.792
2000/6/23,359.99
2000/6/26,360.574
2000/6/27,360.77
2000/6/28,360.925
2000/6/29,360.855
2000/6/30,360.73
2000/7/3,361.127
2000/7/4,361.218
2000/7/5,361.4
2000/7/6,361.189
2000/7/7,361.54
2000/7/10,362.077
2000/7/11,362.141
2000/7/12,361.632
2000/7/13,362.126
2000/7/14,362.467
2000/7/17,362.652
2000/7/18,362.987
2000/7/19,362.893
2000/7/20,363.564
2000/7/21,363.737
2000/7/24,363.992
2000/7/25,363.967
2000/7/26,363.587
2000/7/27,363.478
2000/7/28,362.807
2000/7/31,362.671
2000/8/1,361.894
2000/8/2,362.383
2000/8/3,362.67
2000/8/4,362.939
2000/8/7,363.327
2000/8/8,363.916
2000/8/9,364.078
2000/8/10,364.102
2000/8/11,363.824
2000/8/14,363.388
2000/8/15,362.899
2000/8/16,362.659
2000/8/17,362.522
2000/8/18,362.518
2000/8/21,362.711
2000/8/22,363.031
2000/8/23,363.232
2000/8/24,363.387
2000/8/25,363.829
2000/8/28,364.654
2000/8/29,365.037
2000/8/30,365.67
2000/8/31,366.231
2000/9/1,366.363
2000/9/4,366.642
2000/9/5,368.225
2000/9/6,368.562
2000/9/7,369.117
2000/9/8,369.437
2000/9/11,369.417
2000/9/12,369.299
2000/9/13,369.507
2000/9/14,369.548
2000/9/15,369.362
2000/9/18,368.473
2000/9/19,366.866
2000/9/20,366.043
2000/9/21,365.612
2000/9/22,365.287
2000/9/25,365.618
2000/9/26,365.292
2000/9/27,363.638
2000/9/28,362.896
2000/9/29,363.019
2000/9/30,363.064
2000/10/2,362.92
2000/10/3,362.858
2000/10/4,362.25
2000/10/5,361.768
2000/10/6,361.628
2000/10/9,361.911
2000/10/10,361.302
2000/10/11,359.214
2000/10/12,358.827
2000/10/13,357.32
2000/10/16,357.178
2000/10/17,355.536
2000/10/18,353.561
2000/10/19,353.532
2000/10/20,353.663
2000/10/23,354.11
2000/10/24,354.405
2000/10/25,354.414
2000/10/26,353.578
2000/10/27,353.027
2000/10/30,352.911
2000/10/31,351.502
2000/11/1,351.723
2000/11/2,350.992
2000/11/3,350.566
2000/11/6,350.662
2000/11/7,350.304
2000/11/8,350.735
2000/11/9,350.546
2000/11/10,350.112
2000/11/13,350.215
2000/11/14,350.101
2000/11/15,349.716
2000/11/16,349.469
2000/11/17,348.717
2000/11/20,347.658
2000/11/21,345.281
2000/11/22,344.196
2000/11/23,344.293
2000/11/24,344.085
2000/11/27,343.527
2000/11/28,342.793
2000/11/29,340.728
2000/11/30,338.02
2000/12/1,337.405
2000/12/4,336.691
2000/12/5,337.532
2000/12/6,338.699
2000/12/7,338.815
2000/12/8,339.112
2000/12/11,340.778
2000/12/12,342.38
2000/12/13,344.394
2000/12/14,344.721
2000/12/15,344.756
