Dates,USGG10YR_Index
2000/1/4,6.497
2000/1/5,6.594
2000/1/6,6.524
2000/1/7,6.515
2000/1/10,6.552
2000/1/11,6.657
2000/1/12,6.703
2000/1/13,6.63
2000/1/14,6.679
2000/1/17,6.681
2000/1/18,6.748
2000/1/19,6.732
2000/1/20,6.788
2000/1/21,6.765
2000/1/24,6.685
2000/1/25,6.692
2000/1/26,6.664
2000/1/27,6.692
2000/1/28,6.658
2000/1/31,6.665
2000/2/1,6.619
2000/2/2,6.573
2000/2/3,6.489
2000/2/4,6.549
2000/2/7,6.639
2000/2/8,6.613
2000/2/9,6.66
2000/2/10,6.671
2000/2/11,6.604
2000/2/14,6.554
2000/2/15,6.552
2000/2/16,6.545
2000/2/17,6.567
2000/2/18,6.489
2000/2/21,6.493
2000/2/22,6.361
2000/2/23,6.422
2000/2/24,6.365
2000/2/25,6.326
2000/2/28,6.422
2000/2/29,6.409
2000/3/1,6.386
2000/3/2,6.384
2000/3/3,6.388
2000/3/6,6.411
2000/3/7,6.373
2000/3/8,6.379
2000/3/9,6.343
2000/3/10,6.383
2000/3/13,6.37
2000/3/14,6.292
2000/3/15,6.291
2000/3/16,6.245
2000/3/17,6.194
2000/3/20,6.183
2000/3/21,6.135
2000/3/22,6.112
2000/3/23,6.078
2000/3/24,6.191
2000/3/27,6.185
2000/3/28,6.151
2000/3/29,6.147
2000/3/30,6.055
2000/3/31,6.004
2000/4/3,5.965
2000/4/4,5.895
2000/4/5,5.872
2000/4/6,5.934
2000/4/7,5.853
2000/4/10,5.771
2000/4/11,5.882
2000/4/12,5.935
2000/4/13,5.906
2000/4/14,5.85
2000/4/17,6.038
2000/4/18,6.059
2000/4/19,5.992
2000/4/20,5.994
2000/4/21,5.987
2000/4/24,6.017
2000/4/25,6.128
2000/4/26,6.13
2000/4/27,6.223
2000/4/28,6.212
2000/5/1,6.278
2000/5/2,6.299
2000/5/3,6.401
2000/5/4,6.427
2000/5/5,6.505
2000/5/8,6.56
2000/5/9,6.529
2000/5/10,6.42
2000/5/11,6.409
2000/5/12,6.512
2000/5/15,6.446
2000/5/16,6.424
2000/5/17,6.496
2000/5/18,6.54
2000/5/19,6.494
2000/5/22,6.439
2000/5/23,6.435
2000/5/24,6.47
2000/5/25,6.394
2000/5/26,6.331
2000/5/29,6.326
2000/5/30,6.376
2000/5/31,6.272
2000/6/1,6.191
2000/6/2,6.152
2000/6/5,6.122
2000/6/6,6.122
2000/6/7,6.141
2000/6/8,6.124
2000/6/9,6.126
2000/6/12,6.071
2000/6/13,6.116
2000/6/14,6.041
2000/6/15,6.05
2000/6/16,5.971
2000/6/19,5.999
2000/6/20,6.02
2000/6/21,6.113
2000/6/22,6.104
2000/6/23,6.185
2000/6/26,6.102
2000/6/27,6.085
2000/6/28,6.1
2000/6/29,6.027
2000/6/30,6.031
2000/7/3,5.989
2000/7/5,5.984
2000/7/6,6.048
2000/7/7,6.001
2000/7/10,6.035
2000/7/11,6.048
2000/7/12,6.08
2000/7/13,6.005
2000/7/14,6.096
2000/7/17,6.148
2000/7/18,6.141
2000/7/19,6.154
2000/7/20,6.002
2000/7/21,5.998
2000/7/24,6.034
2000/7/25,6.028
2000/7/26,6.027
2000/7/27,6
2000/7/28,6.034
2000/7/31,6.031
2000/8/1,5.984
2000/8/2,5.976
2000/8/3,5.952
2000/8/4,5.901
2000/8/7,5.956
2000/8/8,5.92
2000/8/9,5.916
2000/8/10,5.763
2000/8/11,5.79
2000/8/14,5.771
2000/8/15,5.802
2000/8/16,5.838
2000/8/17,5.81
2000/8/18,5.773
2000/8/21,5.781
2000/8/22,5.775
2000/8/23,5.727
2000/8/24,5.719
2000/8/25,5.729
2000/8/28,5.777
2000/8/29,5.808
2000/8/30,5.8
2000/8/31,5.725
2000/9/1,5.679
2000/9/4,5.683
2000/9/5,5.689
2000/9/6,5.724
2000/9/7,5.752
2000/9/8,5.739
2000/9/11,5.766
2000/9/12,5.772
2000/9/13,5.724
2000/9/14,5.785
2000/9/15,5.84
2000/9/18,5.871
2000/9/19,5.852
2000/9/20,5.897
2000/9/21,5.823
2000/9/22,5.848
2000/9/25,5.837
2000/9/26,5.802
2000/9/27,5.821
2000/9/28,5.812
2000/9/29,5.802
2000/10/2,5.823
2000/10/3,5.867
2000/10/4,5.886
2000/10/5,5.852
2000/10/6,5.812
2000/10/9,5.823
2000/10/10,5.772
2000/10/11,5.774
2000/10/12,5.709
2000/10/13,5.724
2000/10/16,5.732
2000/10/17,5.673
2000/10/18,5.667
2000/10/19,5.655
2000/10/20,5.632
2000/10/23,5.584
2000/10/24,5.615
2000/10/25,5.684
2000/10/26,5.69
2000/10/27,5.713
2000/10/30,5.732
2000/10/31,5.751
2000/11/1,5.742
2000/11/2,5.738
2000/11/3,5.827
2000/11/6,5.855
2000/11/7,5.866
2000/11/8,5.855
2000/11/9,5.825
2000/11/10,5.783
2000/11/13,5.766
2000/11/14,5.755
2000/11/15,5.711
2000/11/16,5.669
2000/11/17,5.704
2000/11/20,5.677
2000/11/21,5.652
2000/11/22,5.624
2000/11/23,5.612
2000/11/24,5.624
2000/11/27,5.624
2000/11/28,5.582
2000/11/29,5.524
2000/11/30,5.468
2000/12/1,5.503
2000/12/4,5.551
2000/12/5,5.418
2000/12/6,5.326
2000/12/7,5.309
2000/12/8,5.299
2000/12/11,5.362
2000/12/12,5.346
2000/12/13,5.258
2000/12/14,5.213
2000/12/15,5.18
2000/12/18,5.17
2000/12/19,5.188
2000/12/20,5.037
2000/12/21,5.025
2000/12/22,5.006
2000/12/25,5.008
2000/12/26,5.056
2000/12/27,5.104
2000/12/28,5.118
2000/12/29,5.112
2001/1/1,5.114
2001/1/2,4.915
2001/1/3,5.158
2001/1/4,5.039
2001/1/5,4.931
2001/1/8,4.956
2001/1/9,5
2001/1/10,5.104
2001/1/11,5.11
2001/1/12,5.25
2001/1/15,5.242
2001/1/16,5.23
2001/1/17,5.175
2001/1/18,5.114
2001/1/19,5.168
2001/1/22,5.225
2001/1/23,5.281
2001/1/24,5.305
2001/1/25,5.245
2001/1/26,5.268
2001/1/29,5.303
2001/1/30,5.229
2001/1/31,5.114
2001/2/1,5.086
2001/2/2,5.148
2001/2/5,5.167
