ISIN,Values
US67054KAA79,5572311.979
US85207UAF21,5061765.938
US893647BE67,4746853.222
US143658BC57,4471755.556
US345370CW84,4116805
US345370CV02,3926918.333
US15135BAT89,3899960.069
US1248EPBT92,3484700.104
US87264ABE47,3404453.993
US1248EPCD32,3288918.192
US852060AD48,3214383.906
US852060AT99,3114035.625
US50077LAB27,3083990.888
US88033GCE89,3079722.398
US02154CAE30,2955447.917
US404119BR91,2953488.417
US85207UAH86,2944501.042
US1248EPCE15,2941642
US68245XAE94,2917055.556
US674599CW33,2850991.667
US404119CA57,2810869.5
US12543DAY67,2728454.323
US1248EPBX05,2706458.333
US1248EPBM40,2686961.806
US15135BAR24,2669144.156
US25277LAA44,2605727.257
US958102AM75,2548415.972
US893647BL01,2529829.861
US852061AS99,2490596
US594918CC64,2457171.875
US91327AAA07,2456437.5
US92857WBQ24,2453631.333
US172967KA87,2440765.625
US65409QBB77,2343712.778
US023135BJ40,2326385.069
US50077LAM81,2248308.523
US25470XAY13,2241594.475
US268317AF12,2225786.955
US88033GCY44,2203942.125
US83422AAA16,2191214.375
US50076QAE61,2189139.224
US78466CAC01,2181035.556
US69888XAA72,2175215.788
US651229AW64,2174150
US12543DBC39,2171617.934
US20752TAA25,2144673.313
US15135BAV36,2138057.939
US91911KAK88,2130162.222
US87264AAP03,2114294.444
US50077LAD82,2107426.209
US46115HAT41,2105109.111
US345397VU41,2102864.444
US69867DAC20,2085985.417
US25470XAW56,2083513.815
US25470XAJ46,2072168.813
US35671DBC83,2071844.432
US126307AZ02,2049264.583
US822582AD40,2037080.553
US02156LAA98,2031291.354
US35671DAZ87,2029474.526
US91911XAW48,2009953.361
US88033GCN88,2001777.282
US04021LAA89,1968420.742
US674599CP81,1944590
US15137TAA88,1931400.75
US88033GCS75,1909120.66
US85207UAK16,1902053.125
US98954NAA72,1898075
US65343HAA95,1896314.831
US88160RAE18,1895485
US85207UAJ43,1856766.458
US64110LAS51,1854652.667
US85172FAN96,1852116.667
US345397A605,1851591.146
US23918KAS78,1844141.493
US91911KAN28,1839585.417
US18451QAP37,1824033.556
US64072TAA34,1815400.061
US737446AK05,1812440.585
US02156TAB08,1810194.578
US404121AJ49,1795378.125
US855030AN20,1792916.667
US87264AAN54,1788878.125
US1248EPBP70,1788374.075
US44332PAD33,1773400.833
US911365BG81,1770073.698
US31740LAC72,1758848.438
US50077LAK26,1757684.781
US404119BS74,1753651.042
US29078EAA38,1750100.344
US983130AV78,1734675
US91911XAV64,1717593.75
US38143VAA70,1710488.988
US674599DF90,1710486.123
US25272KAW36,1699766.927
US670001AE60,1696133.333
US345370CQ17,1694030.556
US91911KAP75,1669875
US87264AAV70,1661781.25
US1248EPCB75,1653795.625
US87927YAA01,1646720.583
US019576AA51,1643476.236
US46115HAW79,1640020.417
US50077LAY20,1638638.625
US95081QAN43,1632771.25
US82967NBA54,1632305
US88033GCX60,1629763.75
US20338QAD51,1629570
US553283AB86,1626348.75
US345397ZQ92,1623996.667
US761735AT63,1620401.111
US05352AAA88,1611750
US038522AR99,1606671.875
US071734AK34,1604990.833
US05988LAA61,1602753.438
US577081BB70,1601625
US88033GDA58,1601018.125
US126307AU15,1590537.091
US670001AC05,1589119.792
US53219LAR06,1587517.688
US1248EPBR37,1587437.5
US268317AM62,1580156.25
US82967NBE76,1576755.208
US82967NBG25,1571828.125
US16411QAE17,1568437.5
US78410GAC87,1567168.75
US31562QAF46,1567055.465
US92769XAP06,1566093.208
US345397ZR75,1565175.101
US25470XAL91,1563333.333
US23918KAR95,1561250
US432833AD37,1559557.755
US16411QAB77,1558700.954
US904678AS85,1554103.333
US12652AAA16,1544910.417
US947075AP29,1543325
US251525AP63,1543042.5
US20337YAA55,1542430
US98919VAA35,1530666.667
US097751BT78,1530062.5
US12429TAD63,1528567.844
US68245XAC39,1528552.083
US345397ZX44,1528228.375
US74166MAC01,1521332.625
US914906AU68,1511041.667
US55342UAH77,1511027.778
US212015AL58,1506187.5
US345370CR99,1501554.167
US12543DBF69,1500966.361
US651229AV81,1498190.408
US131347CN48,1498053.472
US674599CU76,1496770
US904678AQ20,1492246.667
US156700AS50,1489498.889
US1248EPCJ02,1488816
US345397A290,1488373.875
US15135UAF66,1477853.3
US50077LBD73,1473179.25
US914906AS13,1465633.911
US45174HBD89,1464847.396
US251525AM33,1462565.75
US88033GCU22,1452138.438
US345397ZM88,1450490.067
US50077LBA35,1449466.275
US95081QAP90,1439551.403
US345397XL24,1436751.4
US17302WAB46,1435731.458
US92840VAB80,1428126.375
US92840VAF94,1420512.889
US126307AQ03,1419039.306
US013092AC57,1410156.188
US737446AM60,1407685.291
US85172FAM14,1406811.632
US85172FAP45,1404167.014
US26156FAA12,1401339.667
US404121AG00,1390672.396
US82967NBC11,1389793.75
US12543DAZ33,1385679.16
US15911NAA37,1382609.896
US443201AA64,1376737.667
US037411AW56,1368456.858
US31740LAA17,1366304.514
US55616PAA21,1355551.528
US87927VAV09,1355081.5
US46284VAJ08,1353950
US013817AW16,1349365.313
US816196AT67,1344644.049
US629377CC47,1343466.885
US26907YAA29,1342233.75
US73107GAA13,1341870.833
US87264AAM71,1340950
US74166MAE66,1339633.028
US156700BB17,1339505.208
US131347CM64,1338925
US737446AQ74,1336197.222
US674599CS21,1332520.833
US085770AA31,1331150.521
US552953CC35,1330833.333
US290876AD37,1328487
US20338QAB95,1326510.417
US013093AD14,1318058.916
US156700BC99,1316255.556
US87927VAR96,1314500
US12429TAE47,1313365.125
US451102BT32,1308046.367
US013093AB57,1306766.493
US74840LAA08,1306744.792
US071734AJ60,1305679.167
US50201DAA19,1300827
US538034AV10,1298661.333
US92564RAA32,1295648.958
US345370CX67,1295256.667
US071734AH05,1293211.111
US90353TAE01,1290178
US12674TAA43,1280795.819
US03969AAN00,1267687.969
US247361ZZ42,1266199.514
US42704LAA26,1265383.333
US595017AS32,1265197.533
US451102BJ59,1263324.19
US50077LAT35,1260309.661
US18453HAA41,1260256.076
US073685AD12,1260065.625
US983793AH33,1259646.75
US92535WAA80,1259605.417
US345397ZU05,1258557.292
US02156TAA25,1256282.417
US80874YAW03,1253038.194
US527298BR35,1248091.667
US131347CK09,1244252.963
US15135BAJ08,1243710.333
US42307TAH14,1239463.808
US02154CAF05,1235406.667
US404119BW86,1235235.417
US958667AC17,1233825
US87927VAF58,1227187.006
US131347CF14,1222046.028
US893647BK28,1220388.889
US345397XU23,1219042
US125581GQ55,1217722.222
US85205TAL44,1216106
US983793AD29,1215376.667
US460599AC74,1213179.611
US15135BAL53,1211172.699
US126307AY37,1210826.307
US87927VAM00,1209666.667
US911365BK93,1205120.278
US893647AX57,1202684.667
US45332JAA07,1195789.021
US02005NBF69,1185900.567
US228701AF51,1184471.194
US16411QAD34,1183579.375
US46266TAA60,1182652.778
US02156LAC54,1178502.722
US716768AC09,1177977.75
US20259BAA98,1177486.583
US038522AQ17,1176833.333
US097751BM26,1174212.5
US489399AG06,1173682.813
US853496AG21,1172493.056
US767754CH50,1171120.774
US64110LAV80,1169322.917
US345397ZH93,1168431.242
US17302XAK28,1165643.75
US120111BN87,1162883.333
US019576AB35,1161321.875
US345370CS72,1157414.194
US156700BA34,1156875
